Date,Open,High,Low,Close,Volume
2025-05-14,175.04,176.42,173.79,175.32,20999580
2025-05-15,172.6,175.12,173.21,174.19,23787789
2025-05-16,173.57,177.52,171.43,174.24,20379406
2025-05-19,172.0,175.95,171.37,173.49,45292367
2025-05-20,175.49,178.14,174.92,176.09,30970977
2025-05-21,174.24,178.1,174.16,175.56,45321170
2025-05-22,178.03,180.16,176.24,178.24,30619536
2025-05-23,174.93,178.26,175.3,176.45,21361385
2025-05-26,177.78,179.49,174.76,177.87,35121286
2025-05-27,177.62,180.86,175.22,177.75,37447476
2025-05-28,176.57,180.91,176.85,177.79,35182620
2025-05-29,176.4,178.33,174.78,176.71,42758451
2025-05-30,177.34,179.82,176.66,178.1,20641359
2025-06-02,178.01,180.49,177.56,179.08,28939320
2025-06-03,175.93,178.47,175.58,177.46,34981408
2025-06-04,174.22,177.59,172.5,175.03,22616185
2025-06-05,174.85,178.4,173.21,176.26,20361269
2025-06-06,177.13,178.94,175.0,177.95,46124939
2025-06-09,176.5,179.3,175.13,177.04,45374091
2025-06-10,174.67,177.65,172.02,174.94,33773497
2025-06-11,177.24,178.96,175.38,177.73,40989913
2025-06-12,178.49,182.67,178.44,180.28,36866148
2025-06-13,182.18,184.46,180.41,182.28,26875114
2025-06-16,179.48,182.77,178.62,179.72,24143437
2025-06-17,177.76,181.44,176.99,177.94,38017273
2025-06-18,180.94,182.68,179.39,181.06,20525061
2025-06-19,178.49,182.24,178.03,180.15,45777638
2025-06-20,178.62,180.24,177.51,178.76,34392646
2025-06-23,179.27,182.57,179.28,180.76,24714404
2025-06-24,180.64,183.99,178.43,180.64,42746089
2025-06-25,181.85,184.2,180.9,181.95,22886469
2025-06-26,182.68,186.17,182.32,183.71,38841859
2025-06-27,183.82,187.96,182.56,184.7,30458834
2025-06-30,185.83,189.27,183.89,185.91,30215848
2025-07-01,188.27,190.76,186.19,188.33,26743341
2025-07-02,186.14,188.76,185.11,187.81,38063066
2025-07-03,190.13,193.16,189.53,191.06,38886672
2025-07-04,186.82,189.95,187.39,188.53,35399298
2025-07-07,187.94,191.57,185.02,188.02,35876665
2025-07-08,186.81,191.53,186.93,188.05,35989784
2025-07-09,186.62,190.42,184.61,188.29,28731626
2025-07-10,185.45,186.85,182.68,185.86,27625557
2025-07-11,181.36,185.56,179.68,182.67,36737712
2025-07-14,179.66,181.37,177.92,180.14,28407185
2025-07-15,181.08,184.93,178.06,181.62,41240177
2025-07-16,180.28,182.47,178.06,181.13,41183416
2025-07-17,180.01,182.92,179.27,181.42,39684528
2025-07-18,182.42,186.79,182.39,183.83,26077881
2025-07-21,181.43,186.12,179.63,182.68,26527744
2025-07-22,183.7,186.9,183.62,185.3,28707291
2025-07-23,183.59,188.16,182.44,184.63,43650471
2025-07-24,181.13,185.0,178.62,182.22,26742228
2025-07-25,181.58,185.91,180.09,182.75,43646199
2025-07-28,182.42,185.15,181.08,182.86,26342032
2025-07-29,183.97,185.92,183.34,184.93,40581062
2025-07-30,184.3,186.43,181.91,185.1,26842219
2025-07-31,181.45,184.68,181.18,182.99,39454147
2025-08-01,180.09,182.33,178.64,180.18,30966503
2025-08-04,178.51,181.4,176.52,179.54,32520968
2025-08-05,175.94,179.59,173.42,176.47,35232067
2025-08-06,174.54,178.95,173.73,175.65,23181015
2025-08-07,174.07,179.03,174.4,175.8,43644853
2025-08-08,178.08,181.65,176.2,178.24,26407146
2025-08-11,178.31,181.39,175.47,178.34,23901508
2025-08-12,179.58,183.08,177.48,179.98,31069966
2025-08-13,181.96,185.53,180.96,182.52,33614560
2025-08-14,179.19,183.73,177.87,180.66,23384407
2025-08-15,176.41,180.14,175.66,177.55,27788225
2025-08-18,176.11,177.84,173.22,176.17,33627505
2025-08-19,175.86,178.6,175.8,176.68,41550846
2025-08-20,173.39,176.84,172.94,174.93,23850996
2025-08-21,175.27,177.28,173.27,175.73,21693053
2025-08-22,176.83,178.37,174.59,177.45,29250678
2025-08-25,179.3,182.39,179.12,180.11,39058196
2025-08-26,180.79,184.56,180.55,182.43,38435328
2025-08-27,182.7,184.19,182.04,183.15,25366413
2025-08-28,182.41,185.72,180.3,182.47,40017307
2025-08-29,179.54,181.67,177.47,179.64,40059913
2025-09-01,177.66,180.68,175.65,178.5,29513636
2025-09-02,179.17,180.59,178.11,179.62,39656453
2025-09-03,175.25,179.62,174.24,176.74,30574479
2025-09-04,176.69,181.92,177.35,178.39,22466394
2025-09-05,178.97,183.22,177.44,180.37,45350345
2025-09-08,177.93,182.18,177.14,178.78,35715230
2025-09-09,176.49,178.09,174.9,176.56,21691134
2025-09-10,176.45,178.85,174.01,177.42,37720085
2025-09-11,174.17,176.53,172.88,175.29,40167924
2025-09-12,173.13,175.82,172.41,173.86,37809560
2025-09-15,174.38,177.54,172.72,175.9,36143166
2025-09-16,173.34,176.43,171.68,173.52,32052211
2025-09-17,171.51,174.92,170.55,172.18,26376168
2025-09-18,172.65,174.44,170.26,173.08,41908971
2025-09-19,175.53,176.72,172.38,175.74,29091219
2025-09-22,172.59,175.26,171.38,174.29,29337808
2025-09-23,170.11,174.27,169.66,171.67,41176383
2025-09-24,173.82,176.52,172.11,174.72,36589504
2025-09-25,176.04,177.41,173.12,176.33,47151676
2025-09-26,178.15,181.39,176.06,178.44,45075924
2025-09-29,176.62,178.82,175.16,176.96,40020461
2025-09-30,175.12,178.77,174.83,175.92,34349638
2025-10-01,176.22,179.07,174.28,176.96,38241296
2025-10-02,173.62,176.52,172.68,174.38,30028435
2025-10-03,174.73,178.18,175.36,176.48,40257447
2025-10-06,172.68,176.65,172.22,173.89,29493058
2025-10-07,174.97,178.97,173.69,176.35,23938692
2025-10-08,174.31,177.73,174.16,175.29,43053608
2025-10-09,176.97,181.01,175.23,177.97,30657533
2025-10-10,176.2,179.07,174.1,176.26,22828206
2025-10-13,174.34,177.28,172.98,175.45,33005022
2025-10-14,176.93,179.26,174.88,177.39,25193774
2025-10-15,178.82,180.98,178.06,179.61,49558040
2025-10-16,181.63,183.49,178.49,181.98,25324558
2025-10-17,182.43,185.19,181.04,182.49,22149378
2025-10-20,181.83,185.52,180.36,183.1,29181976
2025-10-21,184.55,185.9,182.8,184.74,24827742
2025-10-22,181.8,184.2,180.44,182.13,36408413
2025-10-23,183.07,186.98,181.36,183.95,31335142
2025-10-24,184.81,187.37,183.7,186.06,47003992
2025-10-27,187.06,191.12,185.01,187.61,47723751
2025-10-28,189.72,191.93,188.23,190.97,22994856
2025-10-29,193.63,196.54,191.36,193.71,43826546
2025-10-30,188.68,193.96,189.18,190.37,28245007
2025-10-31,192.09,194.15,188.75,192.1,26857343
2025-11-03,190.51,193.16,190.13,191.42,35819063
2025-11-04,188.49,192.97,188.58,190.17,26020767
2025-11-05,192.59,194.09,190.6,193.07,46857088
2025-11-06,188.23,191.4,186.75,189.93,27899008
2025-11-07,189.68,193.09,188.14,190.69,29430873
2025-11-10,189.92,193.72,188.08,190.09,47418279
2025-11-11,190.23,192.85,187.85,190.51,31478131
2025-11-12,191.25,192.91,190.33,191.69,33402495
2025-11-13,188.56,191.87,185.97,188.66,37702855
2025-11-14,190.3,193.94,187.09,190.73,27973002
2025-11-17,193.26,197.1,190.94,193.5,28272953
2025-11-18,194.3,196.5,191.62,195.07,30797942
2025-11-19,192.47,195.95,189.18,192.65,44886482
2025-11-20,194.71,198.7,192.67,196.15,45849587
2025-11-21,192.41,197.59,190.51,193.95,24308894
2025-11-24,189.72,194.13,187.57,191.12,36109553
2025-11-25,190.76,195.65,190.24,192.53,36977494
2025-11-26,190.84,193.39,190.05,191.24,23051618
2025-11-27,192.17,194.33,190.59,193.25,36582034
2025-11-28,190.63,192.8,188.02,190.95,22550978
2025-12-01,191.41,194.29,187.78,191.41,22494594
2025-12-02,191.06,194.88,190.26,192.78,46320731
2025-12-03,194.47,196.16,192.35,195.15,43823854
2025-12-04,193.67,196.36,193.41,195.05,48724798
2025-12-05,198.18,200.19,196.44,198.58,29743994
2025-12-08,199.45,202.81,198.44,199.57,45330980
2025-12-09,198.21,200.64,195.5,198.88,44543177
2025-12-10,194.81,197.95,193.62,196.16,41485784
2025-12-11,194.71,196.3,191.56,195.05,23167418
2025-12-12,191.83,194.02,189.25,192.54,21223945
2025-12-15,194.16,196.19,191.72,194.95,25270920
2025-12-16,197.33,201.74,195.5,198.45,47623930
2025-12-17,197.04,200.92,196.33,198.01,47551811
2025-12-18,198.42,203.21,197.33,199.45,44392003
2025-12-19,198.22,202.74,197.2,198.82,42153623
2025-12-22,201.42,204.18,198.9,202.38,30293764
2025-12-23,201.74,205.73,201.04,203.55,46459491
2025-12-24,200.31,205.3,198.85,202.12,38080406
2025-12-25,204.21,207.25,202.57,205.14,24756487
2025-12-26,204.12,209.68,204.73,205.77,43717029
2025-12-29,206.66,212.33,206.13,208.33,26640394
2025-12-30,208.67,213.05,207.6,210.49,31193021
2025-12-31,209.13,211.46,206.55,209.28,24161658
2026-01-01,208.44,210.8,206.61,209.01,38325736
2026-01-02,208.62,211.42,208.21,209.55,47431120
2026-01-05,206.6,212.34,204.23,208.38,42987201
2026-01-06,209.84,214.32,209.85,211.44,26226829
2026-01-07,211.87,214.78,209.31,212.27,46263567
2026-01-08,215.95,219.29,212.75,216.08,42522895
2026-01-09,218.66,221.98,216.59,218.87,45612968
2026-01-12,213.42,217.73,211.3,215.14,32964686
2026-01-13,211.01,214.4,208.45,212.27,28191709
2026-01-14,211.46,215.99,208.74,212.88,42514842
2026-01-15,213.88,217.85,211.19,215.17,31591220
2026-01-16,213.76,217.86,212.71,214.57,45223396
2026-01-19,212.73,215.51,211.6,212.96,43162042
2026-01-20,211.15,215.22,210.99,212.35,37648615
2026-01-21,210.13,213.53,206.99,211.14,21834782
2026-01-22,208.87,212.09,206.67,209.67,30801511
2026-01-23,210.19,214.6,207.65,211.66,24175668
2026-01-26,212.74,218.25,213.21,214.37,35962304
2026-01-27,214.94,217.81,212.63,215.96,33271666
2026-01-28,219.2,223.85,217.48,219.47,49241621
2026-01-29,220.57,223.36,219.11,220.86,27441676
2026-01-30,220.86,223.66,217.94,222.14,37436310
2026-02-02,222.6,227.5,223.28,224.57,20019346
2026-02-03,222.4,224.2,219.13,223.01,34789808
2026-02-04,225.85,228.75,222.96,226.27,39646419
2026-02-05,222.61,226.82,220.74,224.17,30883417
2026-02-06,224.1,228.65,221.35,224.25,26929263
2026-02-09,221.62,225.35,217.69,221.94,30599073
2026-02-10,223.27,227.44,220.81,224.72,49518422
2026-02-11,225.42,229.36,222.69,226.42,49533587
2026-02-12,229.58,232.6,228.61,230.39,29190294
2026-02-13,232.88,235.19,231.31,233.55,46136401
2026-02-16,231.03,235.12,229.59,233.18,43841629
2026-02-17,233.16,238.59,231.94,234.88,29914065
2026-02-18,235.94,240.97,235.83,237.43,39793773
2026-02-19,237.6,242.04,233.55,237.66,27581681
2026-02-20,234.99,237.34,234.6,235.84,34775476
2026-02-23,237.26,243.94,234.71,239.48,39681744
2026-02-24,235.94,241.77,233.27,237.72,29568170
2026-02-25,240.03,243.85,239.82,241.99,20967298
2026-02-26,239.11,244.1,234.69,239.36,35489809
2026-02-27,242.03,244.26,241.43,243.04,22020563
2026-03-02,239.27,243.86,236.83,240.34,42087642
2026-03-03,237.96,242.54,238.46,240.29,41298184
